country_iso3,country_name,indicator_code,metric_name,indicator_name,indicator_year,indicator_value,source,fetched_at_utc
THA,Thailand,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,61.8689338391321,world_bank_api,2026-06-11T10:40:28Z
TUR,Turkiye,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,107.826875714392,world_bank_api,2026-06-11T10:40:28Z
TUR,Turkiye,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,87.3078767,world_bank_api,2026-06-11T10:40:28Z
TUR,Turkiye,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,15892.7157287241,world_bank_api,2026-06-11T10:40:28Z
TUR,Turkiye,SP.POP.TOTL,population_total,"Population, total",2024,85518661,world_bank_api,2026-06-11T10:40:28Z
TUR,Turkiye,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,89.3443122873887,world_bank_api,2026-06-11T10:40:28Z
USA,United States,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,113.190481805755,world_bank_api,2026-06-11T10:40:28Z
USA,United States,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,94.69380188,world_bank_api,2026-06-11T10:40:28Z
USA,United States,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,84534.0407841548,world_bank_api,2026-06-11T10:40:28Z
USA,United States,SP.POP.TOTL,population_total,"Population, total",2024,340110988,world_bank_api,2026-06-11T10:40:28Z
USA,United States,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,80.1247798047184,world_bank_api,2026-06-11T10:40:28Z
VNM,Viet Nam,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,127.606471743496,world_bank_api,2026-06-11T10:40:28Z
VNM,Viet Nam,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,84.15,world_bank_api,2026-06-11T10:40:28Z
VNM,Viet Nam,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,4717.29028732449,world_bank_api,2026-06-11T10:40:28Z
VNM,Viet Nam,SP.POP.TOTL,population_total,"Population, total",2024,100987686,world_bank_api,2026-06-11T10:40:28Z
VNM,Viet Nam,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,38.4900703430176,world_bank_api,2026-06-11T10:40:28Z
